Design ID,SKU,Product Name,Category,Reason Removed,Cloudinary Public ID,Cloudinary Original URL
0016,MB1-0016,Badge Brithis Columbia,memorial and tribute,Official/organizational badge or insignia — conservative trademark/seal risk,0016_Badge_Brithis_Columbia,https://res.cloudinary.com/oxygre42/image/upload/v1788348723/0016_Badge_Brithis_Columbia.png
0017,MB1-0017,Badge EMS II,memorial and tribute,Official/organizational badge or insignia — conservative trademark/seal risk,0017_Badge_EMS_II,https://res.cloudinary.com/oxygre42/image/upload/v1788348725/0017_Badge_EMS_II.png
0019,MB1-0019,Badge EMS III,memorial and tribute,Official/organizational badge or insignia — conservative trademark/seal risk,0019_Badge_EMS_III,https://res.cloudinary.com/oxygre42/image/upload/v1788348727/0019_Badge_EMS_III.png
0020,MB1-0020,Badge EMS IV,memorial and tribute,Official/organizational badge or insignia — conservative trademark/seal risk,0020_Badge_EMS_IV,https://res.cloudinary.com/oxygre42/image/upload/v1788348729/0020_Badge_EMS_IV.png
0021,MB1-0021,Badge EMS V,memorial and tribute,Official/organizational badge or insignia — conservative trademark/seal risk,0021_Badge_EMS_V,https://res.cloudinary.com/oxygre42/image/upload/v1788348731/0021_Badge_EMS_V.png
0022,MB1-0022,Badge GPD,memorial and tribute,Official/organizational badge or insignia — conservative trademark/seal risk,0022_Badge_GPD,https://res.cloudinary.com/oxygre42/image/upload/v1788348733/0022_Badge_GPD.png
0023,MB1-0023,Badge Professional EMS,memorial and tribute,Official/organizational badge or insignia — conservative trademark/seal risk,0023_Badge_Professional_EMS,https://res.cloudinary.com/oxygre42/image/upload/v1788348737/0023_Badge_Professional_EMS.png
0025,MB1-0025,Badge Texas Highway Patrol 2021,memorial and tribute,Official/organizational badge or insignia — conservative trademark/seal risk,0025_Badge_Texas_Highway_Patrol_2021,https://res.cloudinary.com/oxygre42/image/upload/v1788348738/0025_Badge_Texas_Highway_Patrol_2021.png
0026,MB1-0026,Badge beaumont police,memorial and tribute,Official/organizational badge or insignia — conservative trademark/seal risk,0026_Badge_beaumont_police,https://res.cloudinary.com/oxygre42/image/upload/v1788348739/0026_Badge_beaumont_police.png
0027,MB1-0027,american legion,memorial and tribute,"Military/government/organizational name, emblem or insignia — licensing/seal/trademark risk",0027_american_legion,https://res.cloudinary.com/oxygre42/image/upload/v1788348740/0027_american_legion.png
0028,MB1-0028,badge Alfa Omega,memorial and tribute,Official/organizational badge or insignia — conservative trademark/seal risk,0028_badge_Alfa_Omega,https://res.cloudinary.com/oxygre42/image/upload/v1788348742/0028_badge_Alfa_Omega.png
0029,MB1-0029,special_forces_symbol=,memorial and tribute,"Military/government/organizational name, emblem or insignia — licensing/seal/trademark risk",0029_special_forces_symbol,https://res.cloudinary.com/oxygre42/image/upload/v1788348744/0029_special_forces_symbol.png
0030,MB1-0030,special_forces_symbol~,memorial and tribute,"Military/government/organizational name, emblem or insignia — licensing/seal/trademark risk",0030_special_forces_symbol,https://res.cloudinary.com/oxygre42/image/upload/v1788348746/0030_special_forces_symbol.png
0033,MB1-0033,navy chief anchor,memorial and tribute,"Military/government/organizational name, emblem or insignia — licensing/seal/trademark risk",0033_navy_chief_anchor,https://res.cloudinary.com/oxygre42/image/upload/v1788348752/0033_navy_chief_anchor.png
0192,MB1-0192,One Hundred Dollar Trump,sports and hobbies,Named political/personality/campaign merchandise — conservative trademark/publicity risk,0192_One_Hundred_Dollar_Trump,https://res.cloudinary.com/oxygre42/image/upload/v1788349052/0192_One_Hundred_Dollar_Trump.png
0379,MB1-0379,Mad Dog Mattis Flag,seasonal and holiday,Named political/personality/campaign merchandise — conservative trademark/publicity risk,0379_Mad_Dog_Mattis_Flag,https://res.cloudinary.com/oxygre42/image/upload/v1788349401/0379_Mad_Dog_Mattis_Flag.jpg
0382,MB1-0382,Obama Flag,seasonal and holiday,Named political/personality/campaign merchandise — conservative trademark/publicity risk,0382_Obama_Flag,https://res.cloudinary.com/oxygre42/image/upload/v1788349406/0382_Obama_Flag.jpg
0386,MB1-0386,Trump 2A Flag back plate,seasonal and holiday,Named political/personality/campaign merchandise — conservative trademark/publicity risk,0386_Trump_2A_Flag_back_plate,https://res.cloudinary.com/oxygre42/image/upload/v1788349414/0386_Trump_2A_Flag_back_plate.jpg
0387,MB1-0387,Trump 2A Flag top layer,seasonal and holiday,Named political/personality/campaign merchandise — conservative trademark/publicity risk,0387_Trump_2A_Flag_top_layer,https://res.cloudinary.com/oxygre42/image/upload/v1788349416/0387_Trump_2A_Flag_top_layer.jpg
0388,MB1-0388,Trump Flag 2 Layer,seasonal and holiday,Named political/personality/campaign merchandise — conservative trademark/publicity risk,0388_Trump_Flag_2_Layer,https://res.cloudinary.com/oxygre42/image/upload/v1788349417/0388_Trump_Flag_2_Layer.png
0389,MB1-0389,Trump Flag Bridged stripes,seasonal and holiday,Named political/personality/campaign merchandise — conservative trademark/publicity risk,0389_Trump_Flag_Bridged_stripes,https://res.cloudinary.com/oxygre42/image/upload/v1788349419/0389_Trump_Flag_Bridged_stripes.png
0390,MB1-0390,Trump Flag,seasonal and holiday,Named political/personality/campaign merchandise — conservative trademark/publicity risk,0390_Trump_Flag,https://res.cloudinary.com/oxygre42/image/upload/v1788349425/0390_Trump_Flag.png
0394,MB1-0394,trump-flag-hug,seasonal and holiday,Named political/personality/campaign merchandise — conservative trademark/publicity risk,0394_trump-flag-hug,https://res.cloudinary.com/oxygre42/image/upload/v1788349433/0394_trump-flag-hug.jpg
0469,MB1-0469,nightmare before christmas,seasonal and holiday,The Nightmare Before Christmas property — copyrighted/trademarked entertainment IP,0469_nightmare_before_christmas,https://res.cloudinary.com/oxygre42/image/upload/v1788349553/0469_nightmare_before_christmas.png
0826,MB1-0826,02 silverado lowrider,garage and workshop,Third-party brand/model/logo or distinctive franchise/property — trademark/licensing risk,0826_02_silverado_lowrider,https://res.cloudinary.com/oxygre42/image/upload/v1788350144/0826_02_silverado_lowrider.jpg
0837,MB1-0837,51 gmc truck,home decor and inspirational,Third-party brand/model/logo or distinctive franchise/property — trademark/licensing risk,0837_51_gmc_truck,https://res.cloudinary.com/oxygre42/image/upload/v1788350165/0837_51_gmc_truck.jpg
0838,MB1-0838,53 chevy truck,garage and workshop,Third-party brand/model/logo or distinctive franchise/property — trademark/licensing risk,0838_53_chevy_truck,https://res.cloudinary.com/oxygre42/image/upload/v1788350171/0838_53_chevy_truck.png
0839,MB1-0839,57 Chevy Belair,garage and workshop,Third-party brand/model/logo or distinctive franchise/property — trademark/licensing risk,0839_57_Chevy_Belair,https://res.cloudinary.com/oxygre42/image/upload/v1788350171/0839_57_Chevy_Belair.jpg
0840,MB1-0840,69 mustang,garage and workshop,Third-party brand/model/logo or distinctive franchise/property — trademark/licensing risk,0840_69_mustang,https://res.cloudinary.com/oxygre42/image/upload/v1788350171/0840_69_mustang.jpg
0841,MB1-0841,76 logo,home decor and inspirational,Third-party brand/model/logo or distinctive franchise/property — trademark/licensing risk,0841_76_logo,https://res.cloudinary.com/oxygre42/image/upload/v1788350172/0841_76_logo.png
0844,MB1-0844,Air force logo,memorial and tribute,"Military/government/organizational name, emblem or insignia — licensing/seal/trademark risk",0844_Air_force_logo,https://res.cloudinary.com/oxygre42/image/upload/v1788350181/0844_Air_force_logo.png
0845,MB1-0845,All of me All of you,home decor and inspirational,Recognizable modern song-lyric phrase — conservative copyright/trademark risk,0845_All_of_me_All_of_you,https://res.cloudinary.com/oxygre42/image/upload/v1788350183/0845_All_of_me_All_of_you.png
0859,MB1-0859,Baby Yoda,home decor and inspirational,Baby Yoda / Star Wars character — copyrighted/trademarked entertainment IP,0859_Baby_Yoda,https://res.cloudinary.com/oxygre42/image/upload/v1788350204/0859_Baby_Yoda.jpg
0876,MB1-0876,C10 front end,garage and workshop,Third-party brand/model/logo or distinctive franchise/property — trademark/licensing risk,0876_C10_front_end,https://res.cloudinary.com/oxygre42/image/upload/v1788350236/0876_C10_front_end.png
0877,MB1-0877,Camaro Hot Rod,garage and workshop,Third-party brand/model/logo or distinctive franchise/property — trademark/licensing risk,0877_Camaro_Hot_Rod,https://res.cloudinary.com/oxygre42/image/upload/v1788350238/0877_Camaro_Hot_Rod.png
0882,MB1-0882,Chevrolet emblem,garage and workshop,Third-party brand/model/logo or distinctive franchise/property — trademark/licensing risk,0882_Chevrolet_emblem,https://res.cloudinary.com/oxygre42/image/upload/v1788350247/0882_Chevrolet_emblem.png
0903,MB1-0903,Deplorables for trump 2020,seasonal and holiday,Named political/personality/campaign merchandise — conservative trademark/publicity risk,0903_Deplorables_for_trump_2020,https://res.cloudinary.com/oxygre42/image/upload/v1788350286/0903_Deplorables_for_trump_2020.png
0944,MB1-0944,Ford truck hot rod,garage and workshop,Third-party brand/model/logo or distinctive franchise/property — trademark/licensing risk,0944_Ford_truck_hot_rod,https://res.cloudinary.com/oxygre42/image/upload/v1788350359/0944_Ford_truck_hot_rod.jpg
0950,MB1-0950,General Lee hot rod,garage and workshop,Third-party brand/model/logo or distinctive franchise/property — trademark/licensing risk,0950_General_Lee_hot_rod,https://res.cloudinary.com/oxygre42/image/upload/v1788350370/0950_General_Lee_hot_rod.png
0999,MB1-0999,Maga Punisher,seasonal and holiday,Named political/personality/campaign merchandise — conservative trademark/publicity risk,0999_Maga_Punisher,https://res.cloudinary.com/oxygre42/image/upload/v1788350458/0999_Maga_Punisher.png
1003,MB1-1003,Marine Corps Logo,home decor and inspirational,"Military/government/organizational name, emblem or insignia — licensing/seal/trademark risk",1003_Marine_Corps_Logo,https://res.cloudinary.com/oxygre42/image/upload/v1788350464/1003_Marine_Corps_Logo.png
1004,MB1-1004,Marine logo,home decor and inspirational,"Military/government/organizational name, emblem or insignia — licensing/seal/trademark risk",1004_Marine_logo,https://res.cloudinary.com/oxygre42/image/upload/v1788350466/1004_Marine_logo.png
1036,MB1-1036,Not all those who wander blade,home decor and inspirational,Recognizable Tolkien quotation — copyrighted literary text risk,1036_Not_all_those_who_wander_blade,https://res.cloudinary.com/oxygre42/image/upload/v1788350516/1036_Not_all_those_who_wander_blade.jpg
1054,MB1-1054,RX8 skull,home decor and inspirational,Third-party brand/model/logo or distinctive franchise/property — trademark/licensing risk,1054_RX8_skull,https://res.cloudinary.com/oxygre42/image/upload/v1788350548/1054_RX8_skull.png
1055,MB1-1055,Ranger Badge,memorial and tribute,"Military/government/organizational name, emblem or insignia — licensing/seal/trademark risk",1055_Ranger_Badge,https://res.cloudinary.com/oxygre42/image/upload/v1788350550/1055_Ranger_Badge.png
1057,MB1-1057,Re elect 45,home decor and inspirational,Named political/personality/campaign merchandise — conservative trademark/publicity risk,1057_Re_elect_45,https://res.cloudinary.com/oxygre42/image/upload/v1788350553/1057_Re_elect_45.png
1063,MB1-1063,Rx7 Skull,home decor and inspirational,Third-party brand/model/logo or distinctive franchise/property — trademark/licensing risk,1063_Rx7_Skull,https://res.cloudinary.com/oxygre42/image/upload/v1788350565/1063_Rx7_Skull.png
1075,MB1-1075,Silverado front end,garage and workshop,Third-party brand/model/logo or distinctive franchise/property — trademark/licensing risk,1075_Silverado_front_end,https://res.cloudinary.com/oxygre42/image/upload/v1788350587/1075_Silverado_front_end.png
1078,MB1-1078,Space Force logo,memorial and tribute,"Military/government/organizational name, emblem or insignia — licensing/seal/trademark risk",1078_Space_Force_logo,https://res.cloudinary.com/oxygre42/image/upload/v1788350593/1078_Space_Force_logo.png
1079,MB1-1079,Space Force small logo,memorial and tribute,"Military/government/organizational name, emblem or insignia — licensing/seal/trademark risk",1079_Space_Force_small_logo,https://res.cloudinary.com/oxygre42/image/upload/v1788350595/1079_Space_Force_small_logo.png
1134,MB1-1134,Trump 2020 2 layer,seasonal and holiday,Named political/personality/campaign merchandise — conservative trademark/publicity risk,1134_Trump_2020_2_layer,https://res.cloudinary.com/oxygre42/image/upload/v1788350695/1134_Trump_2020_2_layer.png
1135,MB1-1135,Trump 2020 coin IN DON WE TRUST,sports and hobbies,Named political/personality/campaign merchandise — conservative trademark/publicity risk,1135_Trump_2020_coin_IN_DON_WE_TRUST,https://res.cloudinary.com/oxygre42/image/upload/v1788350697/1135_Trump_2020_coin_IN_DON_WE_TRUST.png
1136,MB1-1136,Trump 2020 with shades,seasonal and holiday,Named political/personality/campaign merchandise — conservative trademark/publicity risk,1136_Trump_2020_with_shades,https://res.cloudinary.com/oxygre42/image/upload/v1788350699/1136_Trump_2020_with_shades.png
1137,MB1-1137,Trump 2020 yard sign with stakes,seasonal and holiday,Named political/personality/campaign merchandise — conservative trademark/publicity risk,1137_Trump_2020_yard_sign_with_stakes,https://res.cloudinary.com/oxygre42/image/upload/v1788350701/1137_Trump_2020_yard_sign_with_stakes.png
1138,MB1-1138,Trump 2020 yard sign,seasonal and holiday,Named political/personality/campaign merchandise — conservative trademark/publicity risk,1138_Trump_2020_yard_sign,https://res.cloudinary.com/oxygre42/image/upload/v1788350703/1138_Trump_2020_yard_sign.png
1139,MB1-1139,Trump 2020,seasonal and holiday,Named political/personality/campaign merchandise — conservative trademark/publicity risk,1139_Trump_2020,https://res.cloudinary.com/oxygre42/image/upload/v1788350705/1139_Trump_2020.png
1142,MB1-1142,Trump Build The Wall,seasonal and holiday,Named political/personality/campaign merchandise — conservative trademark/publicity risk,1142_Trump_Build_The_Wall,https://res.cloudinary.com/oxygre42/image/upload/v1788350707/1142_Trump_Build_The_Wall.png
1146,MB1-1146,Trump Ill be back,seasonal and holiday,Named political/personality/campaign merchandise — conservative trademark/publicity risk,1146_Trump_Ill_be_back,https://res.cloudinary.com/oxygre42/image/upload/v1788350709/1146_Trump_Ill_be_back.png
1147,MB1-1147,Trump MAGA,seasonal and holiday,Named political/personality/campaign merchandise — conservative trademark/publicity risk,1147_Trump_MAGA,https://res.cloudinary.com/oxygre42/image/upload/v1788350714/1147_Trump_MAGA.png
1148,MB1-1148,Trump Train,seasonal and holiday,Named political/personality/campaign merchandise — conservative trademark/publicity risk,1148_Trump_Train,https://res.cloudinary.com/oxygre42/image/upload/v1788350714/1148_Trump_Train.png
1149,MB1-1149,Trump head Keychain opener small,seasonal and holiday,Named political/personality/campaign merchandise — conservative trademark/publicity risk,1149_Trump_head_Keychain_opener_small,https://res.cloudinary.com/oxygre42/image/upload/v1788350714/1149_Trump_head_Keychain_opener_small.png
1150,MB1-1150,Trump head bottle opener,seasonal and holiday,Named political/personality/campaign merchandise — conservative trademark/publicity risk,1150_Trump_head_bottle_opener,https://res.cloudinary.com/oxygre42/image/upload/v1788350716/1150_Trump_head_bottle_opener.png
1157,MB1-1157,US Army logo,memorial and tribute,"Military/government/organizational name, emblem or insignia — licensing/seal/trademark risk",1157_US_Army_logo,https://res.cloudinary.com/oxygre42/image/upload/v1788350729/1157_US_Army_logo.png
1158,MB1-1158,US Navy Logo,memorial and tribute,"Military/government/organizational name, emblem or insignia — licensing/seal/trademark risk",1158_US_Navy_Logo,https://res.cloudinary.com/oxygre42/image/upload/v1788350731/1158_US_Navy_Logo.png
1161,MB1-1161,USPostagestamp,home decor and inspirational,US postage-stamp design reference — conservative USPS design/trademark risk,1161_USPostagestamp,https://res.cloudinary.com/oxygre42/image/upload/v1788350733/1161_USPostagestamp.png
1162,MB1-1162,United States Air Force Double layer with stars,memorial and tribute,"Military/government/organizational name, emblem or insignia — licensing/seal/trademark risk",1162_United_States_Air_Force_Double_layer_with_stars,https://res.cloudinary.com/oxygre42/image/upload/v1788350735/1162_United_States_Air_Force_Double_layer_with_stars.png
1163,MB1-1163,United States Air Force no stars,memorial and tribute,"Military/government/organizational name, emblem or insignia — licensing/seal/trademark risk",1163_United_States_Air_Force_no_stars,https://res.cloudinary.com/oxygre42/image/upload/v1788350737/1163_United_States_Air_Force_no_stars.png
1164,MB1-1164,United States Air Force single layer with stars,memorial and tribute,"Military/government/organizational name, emblem or insignia — licensing/seal/trademark risk",1164_United_States_Air_Force_single_layer_with_stars,https://res.cloudinary.com/oxygre42/image/upload/v1788350738/1164_United_States_Air_Force_single_layer_with_stars.png
1165,MB1-1165,United States Army Logo,memorial and tribute,"Military/government/organizational name, emblem or insignia — licensing/seal/trademark risk",1165_United_States_Army_Logo,https://res.cloudinary.com/oxygre42/image/upload/v1788350741/1165_United_States_Army_Logo.png
1166,MB1-1166,Us Coast Guard,memorial and tribute,"Military/government/organizational name, emblem or insignia — licensing/seal/trademark risk",1166_Us_Coast_Guard,https://res.cloudinary.com/oxygre42/image/upload/v1788350742/1166_Us_Coast_Guard.png
1167,MB1-1167,Victory motorcycle logo cut,garage and workshop,Third-party brand/model/logo or distinctive franchise/property — trademark/licensing risk,1167_Victory_motorcycle_logo_cut,https://res.cloudinary.com/oxygre42/image/upload/v1788350744/1167_Victory_motorcycle_logo_cut.png
1200,MB1-1200,Yankee Candle holder blank,home decor and inspirational,Third-party brand/model/logo or distinctive franchise/property — trademark/licensing risk,1200_Yankee_Candle_holder_blank,https://res.cloudinary.com/oxygre42/image/upload/v1788350804/1200_Yankee_Candle_holder_blank.png
1205,MB1-1205,Zig Zag Man 2 layer,home decor and inspirational,Third-party brand/model/logo or distinctive franchise/property — trademark/licensing risk,1205_Zig_Zag_Man_2_layer,https://res.cloudinary.com/oxygre42/image/upload/v1788350813/1205_Zig_Zag_Man_2_layer.png
1255,MB1-1255,HARLEY DAVIDSON LOGO,garage and workshop,Third-party brand/model/logo or distinctive franchise/property — trademark/licensing risk,1255_HARLEY_DAVIDSON_LOGO,https://res.cloudinary.com/oxygre42/image/upload/v1788350903/1255_HARLEY_DAVIDSON_LOGO.png
1256,MB1-1256,Harley Davison logo 2,garage and workshop,Third-party brand/model/logo or distinctive franchise/property — trademark/licensing risk,1256_Harley_Davison_logo_2,https://res.cloudinary.com/oxygre42/image/upload/v1788350905/1256_Harley_Davison_logo_2.png
1257,MB1-1257,It_s 5 o_clok somewhere,home decor and inspirational,Recognizable modern song/title phrase — conservative trademark/licensing risk,1257_It_s_5_o_clok_somewhere,https://res.cloudinary.com/oxygre42/image/upload/v1788350907/1257_It_s_5_o_clok_somewhere.png
1258,MB1-1258,Jack Daniels Sign,home decor and inspirational,Third-party brand/model/logo or distinctive franchise/property — trademark/licensing risk,1258_Jack_Daniels_Sign,https://res.cloudinary.com/oxygre42/image/upload/v1788350909/1258_Jack_Daniels_Sign.png
1280,MB1-1280,harley davidson fancy sign,garage and workshop,Third-party brand/model/logo or distinctive franchise/property — trademark/licensing risk,1280_harley_davidson_fancy_sign,https://res.cloudinary.com/oxygre42/image/upload/v1788350950/1280_harley_davidson_fancy_sign.png
1284,MB1-1284,jeep compass monogram,lake house and nautical,Third-party brand/model/logo or distinctive franchise/property — trademark/licensing risk,1284_jeep_compass_monogram,https://res.cloudinary.com/oxygre42/image/upload/v1788350958/1284_jeep_compass_monogram.png
1293,MB1-1293,punisher skull pistons,home decor and inspirational,Punisher skull — Marvel copyrighted/trademarked character symbol,1293_punisher_skull_pistons,https://res.cloudinary.com/oxygre42/image/upload/v1788350975/1293_punisher_skull_pistons.png
1294,MB1-1294,punisher skull us flag,seasonal and holiday,Punisher skull — Marvel copyrighted/trademarked character symbol,1294_punisher_skull_us_flag,https://res.cloudinary.com/oxygre42/image/upload/v1788350977/1294_punisher_skull_us_flag.png
1296,MB1-1296,skull jeep,home decor and inspirational,Third-party brand/model/logo or distinctive franchise/property — trademark/licensing risk,1296_skull_jeep,https://res.cloudinary.com/oxygre42/image/upload/v1788350982/1296_skull_jeep.png
1303,MB1-1303,Wall clock Arizona Cardinals,sports and hobbies,Professional sports team name/logo merchandise — trademark/licensing risk,1303_Wall_clock_Arizona_Cardinals,https://res.cloudinary.com/oxygre42/image/upload/v1788350993/1303_Wall_clock_Arizona_Cardinals.png
1304,MB1-1304,Wall clock Broncos II,home decor and inspirational,Professional sports team name/logo merchandise — trademark/licensing risk,1304_Wall_clock_Broncos_II,https://res.cloudinary.com/oxygre42/image/upload/v1788350995/1304_Wall_clock_Broncos_II.png
1305,MB1-1305,Wall clock Broncos,home decor and inspirational,Professional sports team name/logo merchandise — trademark/licensing risk,1305_Wall_clock_Broncos,https://res.cloudinary.com/oxygre42/image/upload/v1788350997/1305_Wall_clock_Broncos.png
1306,MB1-1306,Wall clock Buffalo Bills,sports and hobbies,Professional sports team name/logo merchandise — trademark/licensing risk,1306_Wall_clock_Buffalo_Bills,https://res.cloudinary.com/oxygre42/image/upload/v1788350999/1306_Wall_clock_Buffalo_Bills.png
1307,MB1-1307,Wall clock Chargers,home decor and inspirational,Professional sports team name/logo merchandise — trademark/licensing risk,1307_Wall_clock_Chargers,https://res.cloudinary.com/oxygre42/image/upload/v1788351001/1307_Wall_clock_Chargers.png
1308,MB1-1308,Wall clock Cowboys,home decor and inspirational,Professional sports team name/logo merchandise — trademark/licensing risk,1308_Wall_clock_Cowboys,https://res.cloudinary.com/oxygre42/image/upload/v1788351003/1308_Wall_clock_Cowboys.png
1309,MB1-1309,Wall clock Eagles,home decor and inspirational,Professional sports team name/logo merchandise — trademark/licensing risk,1309_Wall_clock_Eagles,https://res.cloudinary.com/oxygre42/image/upload/v1788351005/1309_Wall_clock_Eagles.png
1310,MB1-1310,Wall clock Giants,home decor and inspirational,Professional sports team name/logo merchandise — trademark/licensing risk,1310_Wall_clock_Giants,https://res.cloudinary.com/oxygre42/image/upload/v1788351007/1310_Wall_clock_Giants.png
1311,MB1-1311,Wall clock Raiders II,home decor and inspirational,Professional sports team name/logo merchandise — trademark/licensing risk,1311_Wall_clock_Raiders_II,https://res.cloudinary.com/oxygre42/image/upload/v1788351009/1311_Wall_clock_Raiders_II.png
1312,MB1-1312,Wall clock Raiders,home decor and inspirational,Professional sports team name/logo merchandise — trademark/licensing risk,1312_Wall_clock_Raiders,https://res.cloudinary.com/oxygre42/image/upload/v1788351010/1312_Wall_clock_Raiders.png
1313,MB1-1313,Wall clock Redskins,sports and hobbies,Professional sports team name/logo merchandise — trademark/licensing risk,1313_Wall_clock_Redskins,https://res.cloudinary.com/oxygre42/image/upload/v1788351012/1313_Wall_clock_Redskins.png
1314,MB1-1314,Wall clock Saints,home decor and inspirational,Professional sports team name/logo merchandise — trademark/licensing risk,1314_Wall_clock_Saints,https://res.cloudinary.com/oxygre42/image/upload/v1788351014/1314_Wall_clock_Saints.png
1315,MB1-1315,Wall clock Seahawks Seatle,home decor and inspirational,Professional sports team name/logo merchandise — trademark/licensing risk,1315_Wall_clock_Seahawks_Seatle,https://res.cloudinary.com/oxygre42/image/upload/v1788351016/1315_Wall_clock_Seahawks_Seatle.png
1317,MB1-1317,Wall clock Steelers,home decor and inspirational,Professional/college sports-style team merchandise — trademark/licensing risk,1317_Wall_clock_Steelers,https://res.cloudinary.com/oxygre42/image/upload/v1788351020/1317_Wall_clock_Steelers.png
1318,MB1-1318,Wall clock Tiger,home decor and inspirational,Professional/college sports-style team merchandise — trademark/licensing risk,1318_Wall_clock_Tiger,https://res.cloudinary.com/oxygre42/image/upload/v1788351022/1318_Wall_clock_Tiger.png
1319,MB1-1319,Wall clock chiefs,home decor and inspirational,Professional/college sports-style team merchandise — trademark/licensing risk,1319_Wall_clock_chiefs,https://res.cloudinary.com/oxygre42/image/upload/v1788351024/1319_Wall_clock_chiefs.png
1320,MB1-1320,Arizona Cardinals,sports and hobbies,NFL team name/logo merchandise — trademark/licensing risk,1320_Arizona_Cardinals,https://res.cloudinary.com/oxygre42/image/upload/v1788351025/1320_Arizona_Cardinals.png
1321,MB1-1321,Atlanta Falcons,sports and hobbies,NFL team name/logo merchandise — trademark/licensing risk,1321_Atlanta_Falcons,https://res.cloudinary.com/oxygre42/image/upload/v1788351027/1321_Atlanta_Falcons.png
1322,MB1-1322,Baltimore Ravens,sports and hobbies,NFL team name/logo merchandise — trademark/licensing risk,1322_Baltimore_Ravens,https://res.cloudinary.com/oxygre42/image/upload/v1788351029/1322_Baltimore_Ravens.png
1323,MB1-1323,Buffalo Bills,sports and hobbies,NFL team name/logo merchandise — trademark/licensing risk,1323_Buffalo_Bills,https://res.cloudinary.com/oxygre42/image/upload/v1788351031/1323_Buffalo_Bills.png
1324,MB1-1324,Carolina Panthers,sports and hobbies,NFL team name/logo merchandise — trademark/licensing risk,1324_Carolina_Panthers,https://res.cloudinary.com/oxygre42/image/upload/v1788351033/1324_Carolina_Panthers.png
1325,MB1-1325,Chicago Bears,sports and hobbies,NFL team name/logo merchandise — trademark/licensing risk,1325_Chicago_Bears,https://res.cloudinary.com/oxygre42/image/upload/v1788351035/1325_Chicago_Bears.png
1326,MB1-1326,Cincinnati Bengals,sports and hobbies,NFL team name/logo merchandise — trademark/licensing risk,1326_Cincinnati_Bengals,https://res.cloudinary.com/oxygre42/image/upload/v1788351037/1326_Cincinnati_Bengals.png
1327,MB1-1327,Cleveland Browns,sports and hobbies,NFL team name/logo merchandise — trademark/licensing risk,1327_Cleveland_Browns,https://res.cloudinary.com/oxygre42/image/upload/v1788351039/1327_Cleveland_Browns.png
1328,MB1-1328,Dallas Cowboys,sports and hobbies,NFL team name/logo merchandise — trademark/licensing risk,1328_Dallas_Cowboys,https://res.cloudinary.com/oxygre42/image/upload/v1788351040/1328_Dallas_Cowboys.png
1329,MB1-1329,Denver Broncos,sports and hobbies,NFL team name/logo merchandise — trademark/licensing risk,1329_Denver_Broncos,https://res.cloudinary.com/oxygre42/image/upload/v1788351042/1329_Denver_Broncos.png
